Earth,green: 
Fire,red: 
Air,cyan: 
Water,blue:ice+fire;
acid rain,green:rain+smoke;rain+smog;
airplane,gray:bird+metal;bird+steel;
alarm clock,red:clock+sound;
alcohol,yellow:fruit+time;juice+time;
algae,green:water+plant;ocean+plant;sea+plant;
alien,green:life+space;
allergy,dkgreen:human+dust;
alligator,dkgreen:lizard+swamp;lizard+river;
alpaca,white:mountain+sheep;
ambulance,red:hospital+car;doctor+car;
angel,white:human+bird;
angler,gray:human+fishing rod;
ant,dkgray:grass+wild animal;wild animal+sugar;
antarctica,white:snow+desert;ice+desert;
aquarium,blue:water+glass;glass+fish;
archipelago,yellow:isle+isle;
armadillo,gray:wild animal+armor;
armor,gray:tool+metal;tool+steel;
ash,dkgray:volcano+energy;
astronaut,white:human+moon;rocket+human;human+space station;human+space;
atmosphere,blue:air+pressure;sky+pressure;
atomic bomb,red:energy+explosion;
aurora,magenta:sun+antarctica;sky+antarctica;antarctica+atmosphere;
avalanche,white:energy+snow;
axe,gray:blade+wood;
bacon,red:pig+fire;
bacteria,green:swamp+life;
baker,yellow:human+bread;human+flour;human+dough;
bakery,yellow:house+bread;house+baker;
banana,yellow:fruit+monkey;
banana bread,yellow:bread+banana;
bandage,white:blood+fabric;
bank,green:house+money;house+gold;
barn,red:livestock+house;cow+house;house+hay;
bat,dkgray:mouse+bird;mouse+sky;
batman,dkgray:bat+human;
batter,yellow:flour+milk;
bayonet,dkgray:gun+blade;gun+sword;
bbq,red:campfire+meat;campfire+garden;
beach,yellow:sea+sand;ocean+sand;water+sand;
beaver,gray:wild animal+wood;wild animal+dam;
bee,yellow:flower+wild animal;
beehive,dkyellow:bee+house;bee+tree;
beer,dkyellow:alcohol+wheat;
bicycle,red:wheel+wheel;
bird,cyan:life+sky;egg+air;egg+sky;air+life;
birdhouse,red:bird+house;
black hole,dkgray:star+pressure;
blade,gray:metal+stone;
blender,white:glass+blade;blade+electricity;
blizzard,white:snow+wind;snow+storm;snow+snow;
blood,red:human+blade;
boat,gray:water+wood;
boiler,gray:steam+metal;
bone,white:corpse+time;
bonsai tree,dkgreen:tree+pottery;tree+scissors;
book,blue:paper+wood;paper+story;
